cantidad,desplazamientos,geografia_id,fecha_id,id
0,319,17000,1984,41959
0,50,17001,1984,41960
0,10,17042,1984,41962
0,1,17050,1984,41963
0,2,17174,1984,41965
0,1,17272,1984,41966
0,7,17380,1984,41967
0,3,17388,1984,41968
0,4,17433,1984,41969
0,7,17442,1984,41970
0,8,17444,1984,41971
0,8,17446,1984,41972
0,6,17486,1984,41973
0,15,17495,1984,41974
0,6,17513,1984,41975
0,27,17541,1984,41977
0,10,17614,1984,41978
0,1,17616,1984,41979
0,6,17653,1984,41980
0,140,17662,1984,41981
0,2,17777,1984,41983
0,4,17867,1984,41984
0,1,17877,1984,41986
0,207,15000,1984,41987
0,10,15001,1984,41988
0,1,15047,1984,41990
0,1,15087,1984,41992
0,2,15092,1984,41994
0,1,15106,1984,41997
0,3,15135,1984,42001
0,1,15172,1984,42003
0,1,15180,1984,42005
0,7,15183,1984,42006
0,1,15223,1984,42014
0,1,15238,1984,42019
0,4,15248,1984,42021
0,1,15293,1984,42024
0,1,15299,1984,42026
0,1,15332,1984,42030
0,1,15403,1984,42037
0,2,15442,1984,42040
0,3,15455,1984,42041
0,5,15480,1984,42046
0,1,15494,1984,42048
0,16,15507,1984,42050
0,1,15514,1984,42052
0,1,15518,1984,42054
0,3,15533,1984,42057
0,121,15572,1984,42061
0,7,15580,1984,42062
0,1,15632,1984,42066
0,3,15673,1984,42072
0,2,15681,1984,42074
0,1,15755,1984,42083
0,1,15759,1984,42085
0,1,15790,1984,42093
0,1,15839,1984,42106
0,44,11001,1984,42111
0,3,13000,1984,42112
0,292,13001,1984,42113
0,84,13006,1984,42114
0,29,13030,1984,42115
0,12,13042,1984,42116
0,9,13062,1984,42118
0,44,13074,1984,42119
0,6,13140,1984,42120
0,110,13160,1984,42121
0,2,13188,1984,42122
0,94,13212,1984,42123
0,2,13222,1984,42124
0,1,13244,1984,42125
0,10,13248,1984,42126
0,6,13300,1984,42128
0,33,13430,1984,42129
0,6,13433,1984,42130
0,2,13440,1984,42131
0,49,13442,1984,42132
0,105,13458,1984,42133
0,6,13468,1984,42134
0,42,13473,1984,42135
0,10,13490,1984,42136
0,48,13549,1984,42137
0,7,13580,1984,42138
0,34,13600,1984,42139
0,1,13620,1984,42140
0,12,13647,1984,42141
0,1,13650,1984,42142
0,144,13654,1984,42143
0,6,13655,1984,42144
0,59,13657,1984,42145
0,26,13667,1984,42146
0,115,13670,1984,42147
0,45,13683,1984,42149
0,36,13688,1984,42150
0,53,13744,1984,42151
0,1,13780,1984,42153
0,157,13810,1984,42154
0,14,13836,1984,42155
0,32,13873,1984,42157
0,60,13894,1984,42158
0,62,8000,1984,42159
0,24,8001,1984,42160
0,4,8078,1984,42161
0,1,8141,1984,42163
0,1,8296,1984,42164
0,1,8421,1984,42166
0,9,8433,1984,42167
0,5,8549,1984,42170
0,1,8560,1984,42172
0,1,8573,1984,42173
0,2,8634,1984,42175
0,2,8638,1984,42176
0,11,8758,1984,42179
0,29,1001,1984,42183
0,8,5000,1984,42184
0,412,5001,1984,42185
